1@1@Jack Abbott;@Courtesy of Clive Abbott.
99@126@Captain James Cook;@© National Portrait Gallery London.
100@127@Willy Cordier;@Courtesy of Karlheinz Olsinger.
101@128@Ewan Corlett;@Courtesy of SS Great Britain Trust.
102@130@Sir Christopher Cradock;@© Imperial War Museum.
103@134@Dan Cronin;@Courtesy of Mary Cronin.
104@135@Captain FRM Crozier.@Courtesy of the Royal Geographical Society.
105@138@John Pownall Dale;@Courtesy of the Falkland Islands Company.
106@139@William Dale;@Courtesy of the Falkland Islands Company.
107@139@Water colour by Will Dale;@Courtesy of the Falkland Islands Company.
108@139@Water colour by Will Dale;@Courtesy of the Falkland Islands Company.
109@140@Governor D’Arcy;@Courtesy of Falkland Islands Government Archives.
110@141@Charles Darwin;@© National Portrait Gallery London.
111@141@Charles Darwin;@© National Portrait Gallery London.
112@143@John Davis;@"Courtesy of the Weiss Gallery, London."
113@144@ JJ (Jack) Davis;  @Photo by Sven Gillsäter. Courtesy of the Gillsäter family.
114@146@George Thomas Dean;@Courtesy of Geoffrey Calvert.
115@147@John Hall Dean;@Courtesy of Geoffrey Calvert.
116@148@John Markham Dean;@Courtesy of Geoffrey Calvert.
117@149@John Wycombe Dean;@Courtesy of Geoffrey Calvert.
118@150@Orissa Dean;@Falkland Islands Museum & National Trust.
119@150@George Markham Dean;@Falkland Islands Museum & National Trust.
120@157@The Thevet map;@"Courtesy of the Bibliotheque Nationale, Paris."
121@157@D’Earle Draycott;@Courtesy of Mrs Jacqueline Summers.
122@159@Dumont D’Urville;@Courtesy of the Scott Polar Research Institute.
123@161@George Dunnett;@Courtesy of Ron Summers.
124@164@[Thomas Edgar] Inscription;@Courtesy of Edward Carpenter of Lydd.
125@165@Prince Phillip;@Courtesy of Falkland Islands Government Archives.
126@165@Prince Philip;@Property of HRH The Duke of Edinburgh.
127@167@Sir Gerald Elliot;@Courtesy of Sir G Elliot.
128@168@JM Ellis and his bride;@Courtesy of Mrs Sally Blake.
129@169@Bishop Daniel Evans;@Courtesy of the South American Missionary Society.
130@171@Howell Evans;@Courtesy of Denton Evans.
131@172@John Evans;@Courtesy of John Evans.
132@174@Bishop Edward Every;@Courtesy of the South American Missionary Society.
133@177@[Thomas Fanning] Grave;@Courtesy of Paul J O’Pecko.
134@180@AE Felton;@Courtesy of Mrs Joan Spruce.
135@181@GJ Felton;@Courtesy of Falkland Islands Government Archives.
136@182@Henry Felton;@Courtesy of Mrs Joan Spruce.
137@182@Martha Felton;@Courtesy of Mrs Joan Spruce.
138@183@John James Felton;@Courtesy of Falkland Islands Government Archives.
139@183@Sara Felton;@Courtesy of Mrs Joan Spruce.
140@184@Wilhelm Filchner;@Courtesy of Dr Cornelia Lüdecke.
141@185@Miguel Fitzgerald;@Courtesy of Edmundo Murray.
142@186@Captain FitzRoy;@"From FitzRoy of the Beagle, by HEL Mellersh, 1968."
143@186@ [Robert Fitzroy] HMS Beagle by Conrad Martens;@"© National Maritime Museum, PW 6227."
144@188@Father James Foran;@Courtesy of St Mary’s Church Stanley.
145@189@The Forsters;@"The Forster Herbarium, Göttingen."
146@191@Governor French;@Courtesy of Falkland Islands Government Archives.
147@194@Sir Vivian Fuchs; @Photo by C A Clayton. Courtesy of British Antarctic Survey.
148@196@Captain Allen Gardiner;@Courtesy of the South American Missionary Society.
149@196@Allen Weare Gardiner;@Courtesy of the South American Missionary Society.
150@197@[George V] King George V; the £ stamp;@"Courtesy of the Postmaster, Stanley."
151@197@[George V] King George V;@"Courtesy of the Postmaster, Stanley."
152@198@JG Gibbs and family;@Courtesy of the Gibbs Family.
153@200@Sven Gillsäter;@Courtesy of Bjorn Gillsäter.
154@201@Thomas Gilruth;  @Photo by John Leonard. Courtesy of the Gilruth Family.
155@202@Leslie Gleadell;@Courtesy of Leslie Gleadell.
156@204@Governor Goldsworthy I;@Courtesy of Douglas Goldsworthy.
157@204@Governor Goldsworthy II;@Courtesy of Douglas Goldsworthy.
158@204@Governor Goldsworthy III;@Courtesy of Douglas Goldsworthy.
159@204@Governor Goldsworthy IV;@Courtesy of Douglas Goldsworthy.
160@204@Governor Goldsworthy V;@Courtesy of Douglas Goldsworthy.
161@205@"Christina Goss, wedding day;"@Courtesy of the Rev Peter Millam.
162@208@William H Goss;@Courtesy of Norman Clark.
163@209@[Henry Grant] Government House under snow;@"Courtesy of The National Archives, London."
164@210@Mary Greenway;@Courtesy of Mary Orchard.
165@212@Governor Grey-Wilson;@Courtesy of Falkland Islands Government Archives.
166@214@Françcois Groussac;@"Portrait by Amérigo Beri (1942). Courtesy of Biblioteca National, Buenos Aires."
167@217@EW Gunther;@Courtesy of Mrs Rosalind Gunther Marsden.
168@219@Nick Hadden;@Courtesy of the Falkland Islands Company.
